# Here is the output of the provided CUT, the outputs, that do not change are because of the behaviour of the circuit for 
# this particular vector, we are not capable of getting to another state
# But the output for the vector list should be correct

vec# raw   | s dv l_in test_in | fz_L lclk read_a(dec/bin) test_out || cur nxt
0    01010 | 0 1   0    10     |  0    0    24/11000       10    ||  0  0
1    10111 | 1 0   1    11     |  0    0    24/11000       11    ||  6  6
2    01101 | 0 1   1    01     |  0    0    24/11000       00    ||  0  0
3    10000 | 1 0   0    00     |  0    0    24/11000       01    ||  6  6
4    11011 | 1 1   0    11     |  0    0    24/11000       10    ||  1  3
5    00011 | 0 0   0    11     |  0    0    24/11000       01    ||  0  0
6    00010 | 0 0   0    10     |  0    0    24/11000       10    ||  0  0
7    11100 | 1 1   1    00     |  0    0    24/11000       11    ||  0  0
8    01110 | 0 1   1    10     |  0    0    24/11000       00    ||  0  0
9    00100 | 0 0   1    00     |  0    0    24/11000       01    ||  0  0
10    01010 | 0 1   0    10     |  0    0    24/11000       10    ||  0  0
11    10111 | 1 0   1    11     |  0    0    24/11000       11    ||  6  6
12    01101 | 0 1   1    01     |  0    0    24/11000       00    ||  0  0
13    10000 | 1 0   0    00     |  0    0    24/11000       01    ||  6  6
14    11011 | 1 1   0    11     |  0    0    24/11000       10    ||  1  3
15    00011 | 0 0   0    11     |  0    0    24/11000       01    ||  0  0
16    00010 | 0 0   0    10     |  0    0    24/11000       10    ||  0  0
17    11100 | 1 1   1    00     |  0    0    24/11000       11    ||  0  0
18    01110 | 0 1   1    10     |  0    0    24/11000       00    ||  0  0
19    00100 | 0 0   1    00     |  0    0    24/11000       01    ||  0  0
20    01010 | 0 1   0    10     |  0    0    24/11000       10    ||  0  0
21    10111 | 1 0   1    11     |  0    0    24/11000       11    ||  6  6
22    01101 | 0 1   1    01     |  0    0    24/11000       00    ||  0  0
23    10000 | 1 0   0    00     |  0    0    24/11000       01    ||  6  6
24    11011 | 1 1   0    11     |  0    0    24/11000       10    ||  1  3
25    00011 | 0 0   0    11     |  0    0    24/11000       01    ||  0  0
26    00010 | 0 0   0    10     |  0    0    24/11000       10    ||  0  0
27    11100 | 1 1   1    00     |  0    0    24/11000       11    ||  0  0
28    01110 | 0 1   1    10     |  0    0    24/11000       00    ||  0  0
29    00100 | 0 0   1    00     |  0    0    24/11000       01    ||  0  0
DONE.

