# This output comes from tb_top_level_nromal.v testbench
# It takes the sythesized CUT and with that implemented into top_level
# the whole top_level is simulated with testbench, which has defined
# scan_en = 0 and scan_in = 0, so it works in normal mode
# The output is the SAME as for the RTL code, so we can proceed to the other part

vec# raw   | s dv l_in test_in | fz_L lclk read_a(dec/bin) test_out
0    01010 | 0 1   0    10     |  0    0    24/11000       10
1    10111 | 1 0   1    11     |  0    0    24/11000       11
2    01101 | 0 1   1    01     |  0    0    24/11000       00
3    10000 | 1 0   0    00     |  0    0    24/11000       01
4    11011 | 1 1   0    11     |  0    0    24/11000       10
5    00011 | 0 0   0    11     |  0    0    24/11000       01
6    00010 | 0 0   0    10     |  0    0    24/11000       10
7    11100 | 1 1   1    00     |  0    0    24/11000       11
8    01110 | 0 1   1    10     |  0    0    24/11000       00
9    00100 | 0 0   1    00     |  0    0    24/11000       01
10    01010 | 0 1   0    10     |  0    0    24/11000       10
11    10111 | 1 0   1    11     |  0    0    24/11000       11
12    01101 | 0 1   1    01     |  0    0    24/11000       00
13    10000 | 1 0   0    00     |  0    0    24/11000       01
14    11011 | 1 1   0    11     |  0    0    24/11000       10
15    00011 | 0 0   0    11     |  0    0    24/11000       01
16    00010 | 0 0   0    10     |  0    0    24/11000       10
17    11100 | 1 1   1    00     |  0    0    24/11000       11
18    01110 | 0 1   1    10     |  0    0    24/11000       00
19    00100 | 0 0   1    00     |  0    0    24/11000       01
20    01010 | 0 1   0    10     |  0    0    24/11000       10
21    10111 | 1 0   1    11     |  0    0    24/11000       11
22    01101 | 0 1   1    01     |  0    0    24/11000       00
23    10000 | 1 0   0    00     |  0    0    24/11000       01
24    11011 | 1 1   0    11     |  0    0    24/11000       10
25    00011 | 0 0   0    11     |  0    0    24/11000       01
26    00010 | 0 0   0    10     |  0    0    24/11000       10
27    11100 | 1 1   1    00     |  0    0    24/11000       11
28    01110 | 0 1   1    10     |  0    0    24/11000       00
29    00100 | 0 0   1    00     |  0    0    24/11000       01
DONE (end marker) at 30

